"state","State_name","Population","date","category","count","grade"
"NH","New Hampshire *",1359711,2020-04-18,"posNeg",12852,"B"
"NJ","New Jersey ",8882190,2020-04-18,"posNeg",162536,"A"
"NM","New Mexico ",2096829,2020-04-18,"posNeg",35613,"A"
"NV","Nevada ",3080156,2020-04-18,"posNeg",30751,"A"
"NY","New York ",19453561,2020-04-18,"posNeg",596532,"A"
"OH","Ohio *",11689100,2020-04-18,"posNeg",78758,"B"
"OK","Oklahoma *",3956971,2020-04-18,"posNeg",35536,"B"
"OR","Oregon ",4217737,2020-04-18,"posNeg",37583,"A"
"PA","Pennsylvania ",12801989,2020-04-18,"posNeg",153965,"A"
"PR","Puerto Rico ",2933408,2020-04-18,"posNeg",9173,"A"
"RI","Rhode Island *",1059361,2020-04-18,"posNeg",32826,"B"
"SC","South Carolina *",5148714,2020-04-18,"posNeg",38833,"B"
"SD","South Dakota ",884659,2020-04-18,"posNeg",11660,"A"
"TN","Tennessee ",6829174,2020-04-18,"posNeg",90586,"A"
"TX","Texas ",28995881,2020-04-18,"posNeg",176239,"A"
"UT","Utah ",3205958,2020-04-18,"posNeg",59944,"A"
"VA","Virginia ",8535519,2020-04-18,"posNeg",51931,"A"
"VT","Vermont ",623989,2020-04-18,"posNeg",12566,"A"
"WI","Wisconsin ",5822434,2020-04-18,"posNeg",48161,"A"
"WV","West Virginia *",1792147,2020-04-18,"posNeg",19440,"B"
"WY","Wyoming ",578759,2020-04-18,"posNeg",6522,"A"
"AK","Alaska ",731545,2020-04-17,"posNeg",9450,"A"
"AL","Alabama *",4903185,2020-04-17,"posNeg",37848,"B"
"AR","Arkansas ",3017804,2020-04-17,"posNeg",23494,"A"
"AZ","Arizona *",7278717,2020-04-17,"posNeg",49230,"B"
"CA","California *",39512223,2020-04-17,"posNeg",251614,"B"
"CO","Colorado ",5758736,2020-04-17,"posNeg",41830,"A"
"CT","Connecticut ",3565287,2020-04-17,"posNeg",55462,"A"
"DC","District of Columbia ",705749,2020-04-17,"posNeg",12643,"A"
"DE","Delaware ",973764,2020-04-17,"posNeg",14017,"A"
"FL","Florida ",21477737,2020-04-17,"posNeg",234837,"A"
"GA","Georgia ",10617423,2020-04-17,"posNeg",71684,"A"
"HI","Hawaii ",1415872,2020-04-17,"posNeg",21857,"A"
"IA","Iowa ",3155070,2020-04-17,"posNeg",21792,"A"
"ID","Idaho ",1787065,2020-04-17,"posNeg",16183,"A"
